Podcast_id,Episode_name,Speaker_id,Text_Sample
1,Comedy Week,2,That’s when we will be at peak week peak comedy like all the seers and the Internet fretted about send your charts about today the subject is podcast comedy podcast.
1,Comedy Week,1,What is comedy. Comedy is the interruption of expectation in a humorous way. What is a podcast. Well this 2013 YouTube video by Colin grey explains podcast refers to a series of audio files. Where as a podcast episode as one episode of that podcast.
1,Comedy Week,3,So one audio file would be a podcast episode. That’s when you just can’t absolute one and say you’re going to talk about one topic. And that one. One episode of your podcast. Whereas when you talk about a podcast that is actually a C.D. for example a TV series you talk about EastEnders or friends laughs a C.D. TV series and a podcast. Is similar in that it’s a series of episodes.
1,Comedy Week,1,A podcast is a series. Personally I subscribe to quite a few podcasts cities let me list them all for you. Adam Carolla Ted Alexandra Adam Ferrara Baby Geniuses Burt cast Bullseye with Jesse Thorn Chapo trap house kind of comedic. Chris gathered presents come to Poppa with Tom Poppa. Conor needs a friend. The Daily Show everything is a life from live from the Comedy Cellar dead pilot society. Gilbert Gottfried getting better with Ron functions hello from the magic Tavern. Jamie and Jackie and Laurie J.V. club. Larry Wilmore less culture risk does mobile juries. Seth Meyers late night legion of skanks Mike on much Dave Smith’s part of the problem and he is punch up the jam are you talking to me Real Time with Bill Marr reality blows Ron Burgundy bitch sesh seven second delay Too Beautiful to Live W T F Sklar brothers cheap seats. Who cares about the Rock Hall and remaining acts which is more about Brexit than it is funny. But is the funniest Brexit podcast out there. Now you might ask. Do I listen to these all. Yeah I listen to them all not every episode but I check in on every episode. How long does it take me takes me as long as one episode of The Joe Rogan show so today for Comedy Week we decided to do this to play each and every podcast that I listen to all at the same time. And here now is a sample of that.
1,Comedy Week,2,K being told that it’s not gonna work. Let’s do this instead Let’s pick to run. This is a great standup who has been doing his podcast getting better for a little while now. So I wanted to talk about a new podcast or who’s also an established comic about how it’s going for him. But I wanted to pair him with a veteran of the game who’s better than Jesse Thorn who hosts bullseye and Jordan Jesse go and he’s the founder and chief of the maximum fun network. I wanted to know how comedy is affecting podcasts but also how podcasts are affecting Brexit and they had no good answers on that so I asked them well OK how are our podcasts affecting comedy. Which was arguably more relevant to the topic at hand. Enjoy as Comedy Week marches on comedy and podcasting a match made in studios.
1,Comedy Week,4,I would say the very first podcast if memory serves and a lot of crime dramas shows that it doesn’t but the very first podcast as a podcast that I ever listened to was something called The Sound of Young America and a guy named Jesse Thorne who was maybe a college student then went up in a biplane. Don’t ask me how I got wise to The Sound of Young America but Jesse Thorne has become a friend of mine. He created the the podcasting company called maximum fun and he’s responsible and I guess is the executive producer of such comedy podcasts as the adventure zone and BBC geniuses Dave Hill’s podcasting incident the flophouse which I love the Jackie and Laurie show Judge John Hodgman.
1,Comedy Week,1,Jordan Jesse go. PAULA POUNDSTONE my brother my brother and me. So that is the first comedy podcast I ever listened to the latest comedy podcast I have subscribed to is getting better with Ron funk as Ron is a headlining comedian everywhere who has an amazing life story. So the podcasts about third affirmations and third conversations with another great comedian Ron and Jesse are here to talk about comedy podcasting in general.
1,Comedy Week,5,Hey Mike shout out to the Red Baron pizza squadron he took me up in that biplane. Yeah. Who knew it would still be paying off with plugs on podcasts all these years later.
1,Comedy Week,1,The pizza squadron. I didn’t I did not know that that was a day I knew about the you know two seventy seventh Lancers about this pizza squash chef there.
1,Comedy Week,5,Well that’s what happens when you retire from the Blue Angels. They put you in the pizza squadron. Yeah.
1,Comedy Week,1,If the Blue Angels can’t protect the homeland. Only the pizza squadron can. So Ron what’s your pizza squadron now. Ron what podcast Did you listen to.
1,Comedy Week,6,If any that inspired you to do a podcast I would say the one that inspired me. I kind of actually listened to Jackie and Laurie. That’s one of my few comedy related podcasts. I listen to a lot of pro-wrestling podcast.
1,Comedy Week,7,That’s kind of what inspired me to do it actually is that I noticed a couple of friends of mine a gentleman and Conrad Thompson and he was working with some some older wrestlers and they had this podcast and it was starting to really take off and then I started noticing that they were doing some of the same venues that I was doing in a live show and that they were selling them out and I was like Oh. And it mostly as well just came from a place of necessity with me where I was I felt like I was doing a lot of guesting on a lot of other people’s shows I was doing a lot of helping other people by being you know funny on their products but I didn’t have my own home. I didn’t have my own place for people to come and see what I was about in a long form. And so that’s pretty much. Those two things were the inspiration for me starting my podcast.
1,Comedy Week,1,What do you get from it. What needs does it feel that your other outlets like acting writing on shows and especially standup where you could be really expressive so what needs does it feel for you as the creator of the content.
1,Comedy Week,7,It gives me other avenues basically and gives me the things that talk about where even in stand up there is like kind of this pressure not necessary pressure but it’s my job to entertain above all like I can get up there and talk about everything I want to talk about but I have to make it entertaining and podcasts. I don’t necessarily have to do that. I could just talk and not have a punch line ready.
1,Comedy Week,6,I can just go into different subjects and they kind of feed each other because some subjects that I bring up on the podcast end up making it into my act. And it’s just.
1,Comedy Week,7,And also it just gives me more. You know as sure as you guys evolve found out from doing the podcast people learn more and more about you and those are the people who become the most invested in me and the ones they were coming out to my shows and the ones that they actually get get something from it. And it makes me it’s a different feeling from when people go oh we think you’re funny in this show or we are. We thought that was a great set or when someone comes up to mingle Hey I listen to you talk about how you were doing OK but you weren’t feeling that great and you got into therapy and it made me feel OK about going to therapy and it got me enrolled in therapy and now I’m doing better.
1,Comedy Week,8,And like that is like oh I’m hoping something I’m helped I’m actually being a positive force and that to me that’s like way bigger than like a joke in the year that you’ve been doing at 56 episodes in an episode.
1,Comedy Week,8,It’s not like a giant difference at all. It’s just I can tell when I go on a road and sometimes I bring little merch with me and people will buy things tour related but my biggest selling item is my podcast shirt. And so it just lets me know like right away or like Oh OK. And just when I’m getting introduced and people are bringing up my credit and when my podcast starts getting bigger reactions then the shows I’ve been on is like OK this is starting to build a little bit of steam and still very small. It’s not you know the biggest pay cuts at all but it’s what I think. Like just want my comedy The people who find it and enjoy it really get something from it and it makes me makes me happy.
1,Comedy Week,9,It’s a really different kind of relationship right. Like I mean it’s somebody who’s like I’ve done a few stand hosted a few standup shows for people who didn’t know who I was and it’s it can be fine. Like if you have the material you can make them laugh it’s great. They came out to see somebody who was going to make them laugh but there’s a big difference between that and the experience of building a real connection with somebody.
1,Comedy Week,8,Oh absolutely. There’s a big difference between me going out and doing a joke about my girlfriend and people just laughing or someone goes yells out robot and then I’m like Oh OK.
1,Comedy Week,7,Like you know you know what I’m talking about it now you also gives me kind of a excuse to be able to go a little bit deeper and more into the words a thing and sometimes that helps me find jokes that I otherwise wouldn’t have found because I didn’t feel comfortable to shit with sharing that you know empowering helpful hecklers.
1,Comedy Week,1,But tell me about that. You really you think you’ve written jokes or gotten material that comes directly or indirectly from doing the podcast.
1,Comedy Week,6,Yes definitely. Because the biggest response I’ve gotten from the podcast what I’ve knows from other comedians who are like hey I don’t I don’t listen because I don’t listen to your pocket.
1,Comedy Week,7,I know what your bike has. But I do look at the clips of your affirmations and they make me feel good. And hearing that from like not just fans but also my peers made me go like oh maybe this is something I need to bring in to my regular act as well and so it’s kind of started where I start my show by asking people like hey I hope you guys are feeling great we’ll be feeling strong. Hope you feeling happy. Are you happy and in the reaction that gives to asking a group of people to look at themselves and ask themselves if they’re happy. It creates like laughter They’re like some people realize they are. Some people realize they aren’t. And then it is fun to talk about and it kind of opens my set that way. And it’s something I wouldn’t have really felt comfortable doing if I hadn’t started with the affirmations.
1,Comedy Week,1,So just give me a little bit. I know the pizza by plane incident. When did the when did the Comedy Network start and what were the ideas about what you could do in the beginning and then we’ll talk about how that’s all changed.
1,Comedy Week,10,I mean I started podcasting in 2004 and The Sound of Young America like that that pizza baron thing happened because they called my college radio station and I happened to answer and I was like yes I will go in your biplane but I started podcasting in 2004.
1,Comedy Week,10,True. Mostly it’s just complaints about how we don’t ever talk about how 9/11 was an inside job. But anyway I started podcasting into like the very dawn of podcasting basically and not because I was that guy but just because I was making this show and I thought well if I could get a couple hundred people to listen to it this way it’s worth it. And I moved to L.A. in 2000 and eight something like that. And when I moved to L.A. I gave up my job in San Francisco I had been working as a receptionist at a nonprofit and I was like I will just not get a job I will just figure out how to make money from this. And the podcast network was born of that and the model was for for us for maximum fun and still is really a lot like a public radio station or a public television station which is to say people voluntarily give us money. Now we’re for profit but you know people give us five bucks a month to support our shows and that’s where the bulk of our revenue comes from.
1,Comedy Week,10,And it was you know for years and I did that basically because there were there was no one willing to advertise on a podcast at the time. So I did that you know and it was many years of making fourteen thousand dollars in a year which was like just enough to cover my rent and food and catastrophic health insurance. And then you know built it up over time and each time podcasting has been invented from you know Ricky Gervais is inventing podcasting to Marc Maron inventing podcasting to serial inventing podcasting to recently Conan O’Brien inventing podcasting and all the other people who invented podcasting along the way each time that kind of the rising tide lifts all the boats including ours to the point where now as as my old producer used to say you finally don’t have to explain what podcasting is to your dentist.
1,Comedy Week,1,Yeah although you you may you made this reference to Marc Maron inventing podcasting but didn’t you in fact invent Marc Maron and also as far as serial goes frame. ADNAN SYED Yeah you did.
1,Comedy Week,5,Yes I will Marc was Marc started his show after he got fired from Air America for like the fourth time and he and his producer were recording it by sneaking into Air America late at night because they never turned off their pass keys. And I think you know by the time you’re fired four times just people are used to seeing you there whether you’re employed currently employed by them or not.
1,Comedy Week,10,In fact I had once recorded an interview with Marc Jordan my co-host then Jordan and I had recorded an interview with Marc where we were standing at the base of the UC Santa Cruz campus in our underpants broadcasting live for a pledge drive. But Mark emailed me. He’s like You know you like podcasting right. And I was like Yeah. And he’s like How do you how do podcast.
1,Comedy Week,5,Brendan lives in New York. And so he just had a grumble on an e-mail. Yes. So I went over and like helped him set up his microphones but it was truly like he’s been very kind about giving me credit. It was truly like two hours of helping him or three hours of helping him because I you know I liked and admired him so much. I did not expect at the time that his show would be so much better and more successful than mine.
1,Comedy Week,9,I would say that you know there’s a few shows that there was a few shows that are still extant that were popular in the early days. Jimmy Pardo and Matt Belknap were Jimmy being Jimmy is a wonderful Los Angeles standup one of the funniest guys in L.A..
1,Comedy Week,10,And Matt was the boss of this comedy nerd community called a special thing AECOM that started as a tenacious d tribute Web site but eventually grew into being this place where L.A. alternative comics would hang out and talk with each other about comedy in L.A. Matt and Jimmy Pardo started never not funny in two thousand six or something like that. And I think that was very hugely influential for the Los Angeles comedy scene. And Jimmy was very close and is very close with Scott Herman who started comedy death ray which became comedy bang bang which is you know sort of brought the L.A. alternative comedy scene that was around the live shows that he’d been producing in the world of Mr. Show in the world of the UCB Theater here in L.A. into it into podcasting and then there are also you know there are folks like the guys from a yard dude which is a comedy podcast that’s been running since the very beginning days of podcasting. That’s still running and still very successful. But like in the in the comedy community in L.A. which was on top of podcasting seven years or five years before even New York or or anywhere else in the country I think a lot of credit has to go to Jimmy Pardo and Matt Belknap and also to Scott Ackerman whose show who shows format brought a lot of people in doing characters and doing better but also doing interviews with standups and so on and so forth.
1,Comedy Week,1,But the the Pardo Show and The Comedy Bang Bang those are committing comedy those are performing comedy two different kinds of comedy yeah. Whereas the WEF show is examining comedy and it seems to me I don’t know if it’s a 50 50 split but unlike comedy on television when you say comedy it’s you expect to tune in and be entertained and laugh a huge percentage of comedy podcasts like Ron’s is the discussion of comedy.
